carrier	model	os_version	pre-install browser	Chrome for Android
Softbank	001DL	2.2	"Mozilla/5.0 (Linux; U; Android 2.2; ja-jp; 001DL Build/FRF91) AppleWebKit/533.1 (KHTML, like Gecko) Version/4.0 Mobile Safari/533.1"	
Softbank	001HT	2.3.3	"Mozilla/5.0 (Linux; U; Android 2.3.3; ja-jp; 001HT Build/GRI40) AppleWebKit/533.1 (KHTML, like Gecko) Version/4.0 Mobile Safari/533.1"	
Softbank	003P			
Softbank	003Z			
Softbank	007HW			
Softbank	008Z	2.3.4	"Mozilla/5.0 (Linux; U; Android 2.3.4; ja-jp; 008Z Build/GINGERBREAD) AppleWebKit/533.1 (KHTML, like Gecko) Version/4.0 Mobile Safari/533.1"	
Softbank	009Z			
Softbank	101DL	2.3.5	"Mozilla/5.0 (Linux; U; Android 2.3.5; ja-jp; 101DL Build/GRJ90) AppleWebKit/533.1 (KHTML, like Gecko) Version/4.0 Mobile Safari/533.1"	
Softbank	101F	4.0.4	"Mozilla/5.0 (Linux; U; Android 4.0.4; ja-jp; 101F Build/V45R37B) AppleWebKit/534.30 (KHTML, like Gecko) Version/4.0 Mobile Safari/534.30"	"Mozilla/5.0 (Linux; Android 4.0.4; 101F Build/V45R37B) AppleWebKit/535.19 (KHTML, like Gecko) Chrome/18.0.1025.166 Mobile Safari/535.19"
Softbank	101K	2.3.4	"Mozilla/5.0 (Linux; U; Android 2.3.4; ja-jp; 101K Build/159.3.0247) AppleWebKit/533.1 (KHTML, like Gecko) Version/4.0 Mobile Safari/533.1"	
Softbank	101N	2.3.5	"Mozilla/5.0 (Linux; U; Android 2.3.5; ja-jp; 101N Build/A1000151) AppleWebKit/533.1 (KHTML, like Gecko) Version/4.0 Mobile Safari/533.1"	
Softbank	101P	2.3.5	"Mozilla/5.0 (Linux; U; Android 2.3.5; ja-jp; 101P Build/GRJ90) AppleWebKit/533.1 (KHTML, like Gecko) Version/4.0 Mobile Safari/533.1"	
Softbank	102P	2.3.5	"Mozilla/5.0 (Linux; U; Android 2.3.5; ja-jp; 102P Build/GRJ90) AppleWebKit/533.1 (KHTML, like Gecko) Version/4.0 Mobile Safari/533.1"	
Softbank	201F			
Softbank	201HW	4.0.4	"Mozilla/5.0 (Linux; U; Android 4.0.4; ja-jp; 201HW Build/HuaweiU9201L) AppleWebKit/534.30 (KHTML, like Gecko) Version/4.0 Mobile Safari/534.30"	"Mozilla/5.0 (Linux; Android 4.0.4; 201HW Build/HuaweiU9201L) AppleWebKit/535.19 (KHTML, like Gecko) Chrome/18.0.1025.166 Mobile Safari/535.19"
Softbank	201K			
Softbank	201M	4.0.4	"Mozilla/5.0 (Linux; U; Android 4.0.4; ja-jp; 201M Build/7.7.1Q-164_SMJ-133) AppleWebKit/534.30 (KHTML, like Gecko) Version/4.0 Mobile Safari/534.30"	"Mozilla/5.0 (Linux; Android 4.0.4; 201M Build/7.7.1Q-164_SMJ-133) AppleWebKit/535.19 (KHTML, like Gecko) Chrome/18.0.1025.166 Mobile Safari/535.19"
Softbank	DM009SH			
Softbank	DM009SH	2.3.4	"Mozilla/5.0 (Linux; U; Android 2.3.4; ja-jp; DM009SH Build/S4070) AppleWebKit/533.1 (KHTML, like Gecko) Version/4.0 Mobile Safari/533.1"	
Softbank	DM010SH	2.3.4	"Mozilla/5.0 (Linux; U; Android 2.3.4; ja-jp; DM010SH Build/S0016) AppleWebKit/533.1 (KHTML, like Gecko) Version/4.0 Mobile Safari/533.1"	
Softbank	DM011SH			
Softbank	DM012SH	2.3.5	"Mozilla/5.0 (Linux; U; Android 2.3.5; ja-jp; DM012SH Build/S0004) AppleWebKit/533.1 (KHTML, like Gecko) Version/4.0 Mobile Safari/533.1"	
